Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
2,12.84,12.84,3,12.88,12.88,1,12.48,12.48,4,13.16,13.16
2,9.59,22.43,4,10.01,22.89,1,9.88,22.36,3,9.67,22.83
2,9.70,32.13,4,9.34,32.23,1,9.43,31.79,3,9.33,32.16
2,8.88,41.01,3,8.83,41.06,1,9.02,40.81,4,9.12,41.28
1,8.72,49.73,3,8.91,49.97,2,8.93,49.74,4,8.96,50.24
2,8.97,58.70,3,8.89,58.86,1,8.95,58.69,4,8.92,59.16
3,9.18,1:07.88,2,8.99,1:07.85,1,8.97,1:07.66,4,9.13,1:08.29
3,9.24,1:17.12,2,9.10,1:16.95,1,8.99,1:16.65,4,9.32,1:17.61
3,10.14,1:27.259,1,9.01,1:25.959,2,9.53,1:26.172,4,9.98,1:27.590
