Andrea DO-DUC POSITION,Andrea DO-DUC LAP TIME,Andrea DO-DUC ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
3,14.16,14.16,4,26.84,26.84,2,14.03,14.03,1,13.91,13.91
3,11.16,25.32,4,15.66,42.50,2,11.20,25.23,1,11.23,25.14
3,11.69,37.01,4,14.00,56.50,2,11.66,36.89,1,11.65,36.79
3,11.99,49.00,4,13.23,1:09.73,2,11.98,48.87,1,11.99,48.78
3,11.72,1:00.72,4,13.17,1:22.90,1,11.67,1:00.54,2,11.84,1:00.62
2,10.33,1:11.05,4,12.10,1:35.00,1,10.45,1:10.99,3,10.54,1:11.16
2,10.12,1:21.17,4,12.62,1:47.62,1,10.06,1:21.05,3,10.19,1:21.35
2,10.01,1:31.18,4,13.14,2:00.76,1,9.96,1:31.01,3,10.39,1:31.74
2,10.31,1:41.482,4,13.63,2:14.388,1,10.22,1:41.228,3,10.78,1:42.516
