Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,Oleksandr ZHELTONOG POSITION,Oleksandr ZHELTONOG LAP TIME,Oleksandr ZHELTONOG ELAPSED TIME
4,9.95,9.95,5,10.26,10.26,3,9.69,9.69,6,10.47,10.47,2,9.50,9.50,1,9.18,9.18
4,11.46,21.41,5,11.27,21.53,3,11.60,21.29,6,11.16,21.63,2,11.66,21.16,1,11.87,21.05
4,11.17,32.58,5,11.15,32.68,3,11.16,32.45,6,11.21,32.84,2,11.19,32.35,1,11.19,32.24
4,11.11,43.69,5,11.14,43.82,3,11.13,43.58,6,11.09,43.93,2,11.10,43.45,1,11.12,43.36
4,11.16,54.85,5,11.14,54.96,3,11.12,54.70,6,11.13,55.06,2,11.15,54.60,1,11.16,54.52
4,10.85,1:05.70,5,10.88,1:05.84,3,10.82,1:05.52,6,10.93,1:05.99,2,10.79,1:05.39,1,10.85,1:05.37
5,10.12,1:15.82,4,9.94,1:15.78,3,10.20,1:15.72,6,10.00,1:15.99,1,10.16,1:15.55,2,10.28,1:15.65
6,10.06,1:25.88,1,9.31,1:25.09,5,10.13,1:25.85,4,9.82,1:25.81,2,9.69,1:25.24,3,10.15,1:25.80
4,9.59,1:35.47,1,9.77,1:34.86,5,9.64,1:35.49,3,9.52,1:35.33,2,9.70,1:34.94,6,10.02,1:35.82
5,9.64,1:45.11,1,9.77,1:44.63,4,9.40,1:44.89,3,9.49,1:44.82,2,9.78,1:44.72,6,9.75,1:45.57
5,9.73,1:54.84,1,9.82,1:54.45,4,9.84,1:54.73,3,9.85,1:54.67,2,9.84,1:54.56,6,9.79,1:55.36
5,9.62,2:04.46,1,9.55,2:04.00,4,9.61,2:04.34,3,9.61,2:04.28,2,9.62,2:04.18,6,10.04,2:05.40
3,9.45,2:13.91,1,9.40,2:13.40,5,9.71,2:14.05,2,9.50,2:13.78,4,9.75,2:13.93,6,10.25,2:15.65
3,9.76,2:23.666,1,9.54,2:22.932,4,9.71,2:23.755,2,9.65,2:23.425,5,10.18,2:24.102,6,10.75,2:26.394
