SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME
2,7.69,7.69,1,7.56,7.56,5,8.03,8.03,4,7.87,7.87,3,7.75,7.75
2,9.57,17.26,1,9.60,17.16,5,9.74,17.77,4,9.65,17.52,3,9.59,17.34
3,9.15,26.41,2,9.21,26.37,5,9.22,26.99,4,9.01,26.53,1,9.02,26.36
3,9.38,35.79,2,9.32,35.69,5,9.28,36.27,4,9.30,35.83,1,8.81,35.17
5,40.20,1:15.999,2,9.40,45.09,4,9.41,45.681,3,9.56,45.398,1,9.16,44.33
