Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME
1,12.76,12.76,3,13.01,13.01,4,13.15,13.15,2,12.86,12.86
1,9.83,22.59,3,9.82,22.83,4,9.80,22.95,2,9.84,22.70
1,9.64,32.23,3,9.58,32.41,4,9.61,32.56,2,9.63,32.33
1,9.64,41.87,3,9.67,42.08,4,9.60,42.16,2,9.64,41.97
1,9.70,51.57,3,9.74,51.82,4,9.75,51.91,2,9.69,51.66
1,9.68,1:01.25,3,9.61,1:01.43,4,9.58,1:01.49,2,9.68,1:01.34
1,9.68,1:10.93,2,9.54,1:10.97,4,9.68,1:11.17,3,9.68,1:11.02
1,9.87,1:20.80,2,9.90,1:20.87,4,10.00,1:21.17,3,10.00,1:21.02
2,10.14,1:30.931,1,9.98,1:30.846,4,9.98,1:31.151,3,10.05,1:31.067
