WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME
2,7.73,7.73,1,7.58,7.58,3,7.80,7.80,4,7.91,7.91
2,9.72,17.45,1,9.83,17.41,4,10.09,17.89,3,9.84,17.75
1,9.24,26.69,2,9.45,26.86,4,9.31,27.20,3,9.30,27.05
1,9.37,36.06,2,9.47,36.33,4,9.33,36.53,3,9.34,36.39
1,9.65,45.709,2,9.71,46.037,4,9.66,46.184,3,9.74,46.129
