Necmettin Berk YETISKEN POSITION,Necmettin Berk YETISKEN LAP TIME,Necmettin Berk YETISKEN ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME
2,7.26,7.26,3,7.39,7.39,1,6.90,6.90,4,7.52,7.52
3,9.52,16.78,2,9.26,16.65,1,9.06,15.96,4,9.28,16.80
4,9.55,26.33,2,8.95,25.60,1,8.76,24.72,3,9.09,25.89
4,9.27,35.60,2,9.10,34.70,1,8.85,33.57,3,8.88,34.77
4,9.59,45.182,2,9.33,44.028,1,9.08,42.648,3,9.30,44.061
