Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME
1,9.24,9.24,4,9.61,9.61,2,9.36,9.36,5,9.73,9.73,3,9.53,9.53,6,9.89,9.89
1,13.50,22.74,4,13.36,22.97,2,13.47,22.83,6,13.38,23.11,3,13.30,22.83,5,13.20,23.09
2,11.56,34.30,6,11.75,34.72,3,11.57,34.40,5,11.45,34.56,4,11.69,34.52,1,11.09,34.18
2,11.02,45.32,6,11.10,45.82,3,11.00,45.40,5,11.16,45.72,4,11.01,45.53,1,10.99,45.17
2,11.16,56.48,6,11.14,56.96,3,11.09,56.49,5,11.00,56.72,4,11.07,56.60,1,11.22,56.39
3,10.46,1:06.94,6,10.30,1:07.26,1,10.23,1:06.72,5,10.44,1:07.16,4,10.36,1:06.96,2,10.46,1:06.85
1,9.85,1:16.79,5,9.71,1:16.97,2,10.14,1:16.86,6,9.95,1:17.11,4,10.00,1:16.96,3,10.09,1:16.94
2,9.63,1:26.42,1,9.30,1:26.27,5,9.85,1:26.71,4,9.58,1:26.69,3,9.60,1:26.56,6,9.98,1:26.92
2,9.44,1:35.86,1,9.48,1:35.75,5,9.48,1:36.19,4,9.38,1:36.07,3,9.41,1:35.97,6,9.37,1:36.29
2,9.57,1:45.43,1,9.61,1:45.36,5,9.57,1:45.76,4,9.60,1:45.67,3,9.58,1:45.55,6,9.56,1:45.85
2,9.57,1:55.00,1,9.61,1:54.97,6,9.75,1:55.51,4,9.57,1:55.24,3,9.61,1:55.16,5,9.65,1:55.50
2,9.34,2:04.34,1,9.21,2:04.18,6,9.90,2:05.41,4,9.32,2:04.56,3,9.30,2:04.46,5,9.33,2:04.83
2,9.50,2:13.84,1,9.56,2:13.74,6,10.26,2:15.67,4,9.37,2:13.93,3,9.44,2:13.90,5,9.45,2:14.28
2,9.65,2:23.484,1,9.67,2:23.404,6,10.71,2:26.379,3,9.70,2:23.627,5,9.97,2:23.866,4,9.56,2:23.832
