Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
1,7.84,7.84,3,8.15,8.15,5,8.48,8.48,4,8.25,8.25,6,8.64,8.64,2,7.89,7.89,7,8.70,8.70
2,11.10,18.94,3,10.85,19.00,5,10.80,19.28,7,11.17,19.42,4,10.62,19.27,1,10.99,18.89,6,10.69,19.40
2,9.94,28.89,4,10.21,29.22,6,10.14,29.42,5,9.80,29.23,7,10.19,29.46,1,9.99,28.88,3,9.66,29.06
2,10.08,38.97,3,9.92,39.15,6,10.03,39.46,5,10.13,39.36,7,10.04,39.51,1,10.09,38.97,4,10.08,39.15
2,10.49,49.46,3,10.33,49.48,7,10.45,49.91,4,10.25,49.62,6,10.40,49.91,1,10.28,49.26,5,10.51,49.66
2,9.55,59.02,1,9.45,58.93,7,9.55,59.46,5,9.78,59.40,4,9.46,59.37,3,9.93,59.19,6,9.75,59.42
3,9.73,1:08.76,1,9.63,1:08.57,4,9.42,1:08.88,7,9.73,1:09.14,6,9.67,1:09.04,2,9.50,1:08.70,5,9.61,1:09.03
4,9.45,1:18.21,1,9.40,1:17.97,2,9.15,1:18.04,7,9.50,1:18.64,3,9.12,1:18.17,5,9.61,1:18.31,6,9.43,1:18.46
4,9.16,1:27.38,2,9.06,1:27.04,1,8.99,1:27.03,5,9.31,1:27.95,3,8.94,1:27.12,7,9.75,1:28.07,6,9.48,1:27.95
4,9.09,1:36.47,1,9.02,1:36.07,3,9.27,1:36.30,5,9.26,1:37.22,2,9.18,1:36.30,7,10.02,1:38.10,6,9.81,1:37.76
4,9.17,1:45.65,1,9.26,1:45.33,3,9.14,1:45.45,5,9.37,1:46.59,2,9.09,1:45.40,7,10.51,1:48.61,6,10.06,1:47.82
4,9.32,1:54.97,3,9.33,1:54.66,1,9.10,1:54.56,5,9.57,1:56.17,2,9.21,1:54.61,7,11.01,1:59.63,6,10.34,1:58.17
4,9.51,2:04.49,3,9.33,2:04.00,1,9.22,2:03.78,5,9.96,2:06.13,2,9.32,2:03.94,7,11.04,2:10.68,6,10.89,2:09.06
4,10.22,2:14.710,3,9.97,2:13.962,1,9.50,2:13.279,5,10.82,2:16.948,2,9.49,2:13.429,7,11.74,2:22.416,6,11.04,2:20.098
