Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME
1,14.78,14.78,2,14.85,14.85,4,15.03,15.03,3,15.03,15.03
2,11.21,25.99,4,11.46,26.31,1,10.84,25.87,3,11.18,26.21
1,10.59,36.58,4,10.57,36.88,2,10.75,36.62,3,10.57,36.78
1,10.42,47.00,4,10.42,47.30,2,10.48,47.10,3,10.41,47.19
1,10.34,57.34,4,10.48,57.78,2,10.34,57.44,3,10.41,57.60
1,9.96,1:07.30,3,9.92,1:07.70,2,9.94,1:07.38,4,10.17,1:07.77
1,9.83,1:17.13,3,10.63,1:18.33,2,9.89,1:17.27,4,10.73,1:18.50
1,9.75,1:26.88,3,10.72,1:29.05,2,9.78,1:27.05,4,10.73,1:29.23
1,9.82,1:36.693,3,10.76,1:39.803,2,10.20,1:37.246,4,10.68,1:39.909
