Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,6.87,6.87,2,6.91,6.91,3,7.12,7.12
2,9.18,16.05,1,8.74,15.65,3,9.05,16.17
2,8.57,24.62,1,8.29,23.94,3,8.56,24.73
3,9.05,33.67,1,8.53,32.47,2,8.80,33.53
3,42.93,1:16.599,1,8.66,41.129,2,9.22,42.748
