Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME,Tomislav DUGI POSITION,Tomislav DUGI LAP TIME,Tomislav DUGI ELAPSED TIME,Denis GRM POSITION,Denis GRM LAP TIME,Denis GRM ELAPSED TIME,YKURGINYAN Vyaceslav POSITION,YKURGINYAN Vyaceslav LAP TIME,YKURGINYAN Vyaceslav ELAPSED TIME
1,7.177,7.177,4,7.680,7.680,3,7.580,7.580,2,7.566,7.566
1,9.461,16.638,4,10.623,18.302,3,10.557,18.137,2,9.345,16.911
1,9.560,26.197,4,10.671,28.973,3,10.702,28.839,2,9.316,26.227
2,9.565,35.762,3,17.565,46.537,4,18.189,47.027,1,9.422,35.648
2,9.69,45.445,3,3.05,49.583,4,12.11,59.134,1,9.61,45.256
