Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,KOLENC Martin POSITION,KOLENC Martin LAP TIME,KOLENC Martin ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
1,14.32,14.32,3,14.64,14.64,4,14.76,14.76,2,14.50,14.50
2,10.75,25.07,3,10.57,25.21,4,10.58,25.34,1,10.49,24.99
3,9.95,35.02,2,9.75,34.96,4,9.90,35.24,1,9.85,34.84
3,9.26,44.28,2,9.21,44.17,4,9.22,44.46,1,9.23,44.07
2,8.89,53.17,2,9.00,53.17,4,9.04,53.50,1,8.99,53.06
2,8.88,1:02.05,3,8.98,1:02.15,4,9.04,1:02.54,1,8.90,1:01.96
2,8.88,1:10.93,3,8.86,1:11.01,4,9.23,1:11.77,1,8.86,1:10.82
2,8.86,1:19.79,3,8.93,1:19.94,4,9.57,1:21.34,1,8.89,1:19.71
0,,PHOTO,3,9.22,1:29.16,4,9.97,1:31.31,0,,PHOTO
