Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME
4,7.22,7.22,1,6.97,6.97,2,6.99,6.99,3,7.03,7.03
4,9.35,16.57,2,9.46,16.43,3,9.57,16.57,1,9.26,16.29
3,9.00,25.58,2,8.96,25.40,4,9.02,25.59,1,8.82,25.12
2,9.15,34.74,3,9.38,34.78,4,25.77,51.37,1,9.30,34.42
2,9.50,44.235,3,9.56,44.339,4,15.04,1:06.401,1,9.15,43.566
