Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME
3,13.48,13.48,2,13.32,13.32,4,13.57,13.57,5,13.66,13.66,1,13.20,13.20
4,10.73,24.21,3,10.74,24.06,5,10.75,24.32,1,10.21,23.87,2,10.77,23.97
3,10.07,34.28,4,10.27,34.33,4,10.01,34.33,2,10.29,34.16,1,10.04,34.01
4,9.60,43.88,5,9.66,43.99,2,9.38,43.71,3,9.58,43.74,1,9.62,43.63
4,9.34,53.22,5,9.38,53.37,1,9.12,52.83,3,9.44,53.18,2,9.43,53.06
3,9.06,1:02.28,5,9.14,1:02.51,1,9.10,1:01.93,4,9.22,1:02.40,2,9.07,1:02.13
3,9.08,1:11.36,5,9.04,1:11.55,1,9.21,1:11.14,4,9.07,1:11.47,2,9.08,1:11.21
3,9.20,1:20.56,5,9.24,1:20.79,1,9.30,1:20.44,4,9.22,1:20.69,2,9.31,1:20.52
5,10.19,1:30.757,4,9.76,1:30.557,1,9.50,1:29.944,3,9.52,1:30.213,2,9.53,1:30.054
