LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Stephen LEE POSITION,Stephen LEE LAP TIME,Stephen LEE ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,OH Se-Jong POSITION,OH Se-Jong LAP TIME,OH Se-Jong ELAPSED TIME
2,14.127,14.127,4,14.312,14.312,3,14.188,14.188,1,13.944,13.944
2,10.662,24.789,3,10.500,24.812,4,10.703,24.890,1,10.628,24.571
2,10.210,34.998,4,10.392,35.204,1,10.049,34.938,3,10.429,34.999
1,9.881,44.879,4,9.897,45.101,3,10.043,44.980,2,9.891,44.890
1,9.646,54.524,4,9.904,55.005,2,9.707,54.687,3,9.890,54.779
1,9.816,1:04.340,4,9.732,1:04.736,3,9.780,1:04.467,2,9.635,1:04.414
1,9.552,1:13.891,4,9.756,1:14.492,3,9.661,1:14.127,2,9.494,1:13.907
1,9.603,1:23.493,4,9.840,1:24.332,3,9.821,1:23.947,2,9.626,1:23.533
1,9.92,1:33.409,4,10.38,1:34.712,3,9.86,1:33.805,2,10.07,1:33.595
