HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
2,12.67,12.67,1,12.59,12.59,3,12.83,12.83,4,12.94,12.94
2,9.73,22.40,1,9.75,22.34,3,9.57,22.40,4,9.66,22.60
2,9.10,31.50,3,9.23,31.57,1,9.02,31.42,4,9.07,31.67
2,9.08,40.58,3,9.13,40.70,1,9.10,40.52,4,9.18,40.85
1,8.97,49.55,3,9.05,49.75,2,9.13,49.65,4,9.00,49.85
1,8.99,58.54,3,8.97,58.72,2,8.98,58.63,4,8.96,58.81
1,9.05,1:07.59,3,9.06,1:07.78,2,9.05,1:07.68,4,9.09,1:07.90
1,9.09,1:16.68,3,9.10,1:16.88,2,9.13,1:16.81,4,9.19,1:17.09
1,9.30,1:25.974,3,9.28,1:26.153,2,9.19,1:25.998,4,9.37,1:26.454
