NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
2,13.81,13.81,1,13.73,13.73,3,13.98,13.98,5,14.33,14.33,4,14.19,14.19
2,10.73,24.54,1,10.60,24.33,3,10.68,24.66,5,10.49,24.82,4,10.48,24.67
1,9.38,33.92,3,9.69,34.02,4,9.63,34.29,5,9.58,34.40,2,9.27,33.94
1,9.37,43.29,3,9.31,43.33,4,9.23,43.52,5,9.25,43.65,2,9.36,43.30
2,9.22,52.51,1,8.98,52.31,4,9.21,52.73,5,9.18,52.83,3,9.33,52.63
1,8.91,1:01.42,2,9.18,1:01.49,4,9.03,1:01.76,5,9.06,1:01.89,3,8.99,1:01.62
1,8.80,1:10.22,3,9.14,1:10.63,4,8.97,1:10.73,5,8.96,1:10.85,2,8.93,1:10.55
1,8.89,1:19.11,3,9.24,1:19.87,4,9.36,1:20.09,5,9.27,1:20.12,2,9.14,1:19.69
1,9.20,1:28.310,3,9.21,1:29.079,4,9.39,1:29.481,5,9.73,1:29.848,2,9.27,1:28.952
