TREACY Ethan POSITION,TREACY Ethan LAP TIME,TREACY Ethan ELAPSED TIME,YATES Westley POSITION,YATES Westley LAP TIME,YATES Westley ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
1,11.34,11.34,6,11.77,11.77,2,11.40,11.40,7,11.98,11.98,4,11.63,11.63,3,11.49,11.49,5,11.72,11.72
2,17.34,28.68,7,17.35,29.12,1,17.08,28.48,3,16.78,28.76,5,17.30,28.93,4,17.31,28.80,6,17.35,29.07
6,15.09,43.77,7,14.67,43.79,5,15.19,43.67,2,14.71,43.47,2,14.54,43.47,1,14.57,43.37,4,14.52,43.59
6,14.04,57.81,7,14.18,57.97,3,13.95,57.62,2,14.02,57.49,4,14.16,57.63,1,13.97,57.34,5,14.16,57.75
7,12.22,1:10.03,6,11.91,1:09.88,2,11.87,1:09.49,1,11.87,1:09.36,4,12.11,1:09.74,3,12.30,1:09.64,5,12.07,1:09.82
5,11.99,1:22.02,7,12.24,1:22.12,1,12.10,1:21.59,2,12.31,1:21.67,4,12.15,1:21.89,3,12.15,1:21.79,6,12.21,1:22.03
2,10.96,1:32.98,7,11.39,1:33.51,4,11.57,1:33.16,1,11.21,1:32.88,5,11.39,1:33.28,3,11.34,1:33.13,6,11.38,1:33.41
5,10.79,1:43.77,6,10.37,1:43.88,4,10.49,1:43.65,2,10.70,1:43.58,1,10.22,1:43.50,7,10.82,1:43.95,3,10.23,1:43.64
5,9.40,1:53.17,6,9.45,1:53.33,4,9.42,1:53.07,3,9.44,1:53.02,1,9.29,1:52.79,7,9.48,1:53.43,2,9.28,1:52.92
5,9.18,2:02.35,6,9.20,2:02.53,4,9.11,2:02.18,3,9.14,2:02.16,1,9.12,2:01.91,7,9.11,2:02.54,2,9.09,2:02.01
6,9.03,2:11.38,7,9.17,2:11.70,3,8.78,2:10.96,4,9.13,2:11.29,1,8.90,2:10.81,5,8.77,2:11.31,2,8.85,2:10.86
6,9.31,2:20.69,7,9.29,2:20.99,3,9.05,2:20.01,5,9.39,2:20.68,1,8.99,2:19.80,4,8.85,2:20.16,2,9.07,2:19.93
5,9.50,2:30.19,6,9.54,2:30.53,3,9.10,2:29.11,7,9.88,2:30.56,1,9.12,2:28.92,4,9.01,2:29.17,2,9.12,2:29.05
5,9.75,2:39.94,6,10.12,2:40.65,4,9.26,2:38.37,7,10.61,2:41.17,0,9.28,2:38.20,0,9.02,2:38.19,3,9.27,2:38.32
