Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME
1,6.953,6.953,2,7.064,7.064,3,7.239,7.239,4,7.503,7.503
1,9.439,16.392,3,9.627,16.691,2,9.417,16.655,4,9.823,17.326
2,9.377,25.768,3,9.230,25.920,1,9.058,25.713,4,9.500,26.826
2,9.354,35.122,3,9.511,35.431,1,9.273,34.985,4,10.045,36.871
2,9.56,44.674,3,9.64,45.063,1,9.49,44.470,4,10.23,47.101
