Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,KIM Sunghan POSITION,KIM Sunghan LAP TIME,KIM Sunghan ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,YANG Bo-Kai POSITION,YANG Bo-Kai LAP TIME,YANG Bo-Kai ELAPSED TIME
1,7.12,7.12,2,7.37,7.37,3,7.42,7.42,4,7.62,7.62
1,9.58,16.70,2,9.35,16.72,3,9.74,17.16,4,9.92,17.54
2,9.33,26.03,1,9.15,25.87,3,9.88,27.04,4,9.62,27.16
2,9.44,35.47,1,9.25,35.12,3,10.36,37.40,4,10.39,37.55
2,9.46,44.924,1,9.60,44.720,3,10.65,48.041,0,,DQ
