LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME
1,13.29,13.29,2,13.33,13.33,3,13.51,13.51,4,13.74,13.74
1,10.22,23.51,2,10.19,23.52,3,10.28,23.79,4,10.14,23.88
1,9.57,33.08,2,9.56,33.08,3,9.53,33.32,4,9.60,33.48
1,9.45,42.53,2,9.46,42.54,3,9.35,42.67,4,9.39,42.87
2,9.24,51.77,1,9.20,51.74,3,9.22,51.89,4,9.27,52.14
1,9.13,1:00.90,2,9.21,1:00.95,3,9.26,1:01.15,4,9.21,1:01.35
1,9.13,1:10.03,2,9.18,1:10.13,3,9.12,1:10.27,4,9.15,1:10.50
1,9.06,1:19.09,2,9.22,1:19.35,3,9.24,1:19.51,4,9.40,1:19.90
1,9.46,1:28.546,3,9.71,1:29.054,2,9.53,1:29.039,4,9.92,1:29.818
