LI Xuan POSITION,LI Xuan LAP TIME,LI Xuan ELAPSED TIME,JEON Yu Min POSITION,JEON Yu Min LAP TIME,JEON Yu Min ELAPSED TIME,Haruna NAGAMORI POSITION,Haruna NAGAMORI LAP TIME,Haruna NAGAMORI ELAPSED TIME,LUTE Kamryn POSITION,LUTE Kamryn LAP TIME,LUTE Kamryn ELAPSED TIME
4,14.33,14.33,1,14.14,14.14,3,14.23,14.23,2,14.18,14.18
4,10.36,24.69,1,10.26,24.40,2,10.25,24.48,3,10.34,24.52
2,9.92,34.61,1,10.17,34.57,3,10.20,34.68,4,10.29,34.81
2,9.71,44.32,1,9.64,44.21,3,9.71,44.39,4,9.70,44.51
1,9.97,54.29,2,10.10,54.31,3,10.06,54.45,4,10.06,54.57
1,9.98,1:04.27,2,10.04,1:04.35,3,10.01,1:04.46,4,10.00,1:04.57
1,10.06,1:14.33,2,10.06,1:14.41,3,10.06,1:14.52,4,10.16,1:14.73
1,9.91,1:24.24,2,9.92,1:24.33,3,9.92,1:24.44,4,9.96,1:24.69
0,9.88,1:34.12,0,9.82,1:34.15,3,9.85,1:34.29,4,10.24,1:34.938
