Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,UM Cheon-Ho POSITION,UM Cheon-Ho LAP TIME,UM Cheon-Ho ELAPSED TIME
1,13.51,13.51,2,13.58,13.58,3,13.71,13.71,4,14.14,14.14
1,10.68,24.19,2,10.70,24.28,3,10.68,24.39,4,10.44,24.58
1,10.62,34.81,2,10.60,34.88,3,10.59,34.98,4,10.53,35.11
1,10.49,45.30,2,10.49,45.37,3,10.52,45.50,4,10.59,45.70
1,9.86,55.16,2,9.89,55.26,3,9.89,55.39,4,9.96,55.66
1,9.65,1:04.81,2,9.68,1:04.94,3,9.63,1:05.02,4,9.70,1:05.36
1,9.66,1:14.47,2,9.56,1:14.50,3,9.62,1:14.64,4,9.54,1:14.90
1,9.65,1:24.12,2,9.63,1:24.13,3,9.70,1:24.34,4,9.71,1:24.61
2,9.93,1:34.047,3,10.14,1:34.268,1,9.68,1:34.014,4,10.23,1:34.834
