HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,Karolina MILKOWSKA POSITION,Karolina MILKOWSKA LAP TIME,Karolina MILKOWSKA ELAPSED TIME,Camille de SERRES-RAINVILLE POSITION,Camille de SERRES-RAINVILLE LAP TIME,Camille de SERRES-RAINVILLE ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,IVANDIC Danijela POSITION,IVANDIC Danijela LAP TIME,IVANDIC Danijela ELAPSED TIME
6,10.64,10.64,3,10.30,10.30,4,10.48,10.48,1,10.21,10.21,1,10.21,10.21,5,10.59,10.59
2,11.98,22.62,3,12.38,22.68,4,12.28,22.76,1,12.37,22.58,5,12.60,22.81,6,12.40,22.99
1,11.38,34.00,3,11.37,34.05,4,11.34,34.10,1,11.42,34.00,5,11.41,34.22,6,11.36,34.35
1,11.13,45.13,3,11.29,45.34,4,11.32,45.42,2,11.25,45.25,5,11.31,45.53,6,11.26,45.61
3,12.00,57.13,4,11.86,57.20,1,11.59,57.01,2,11.83,57.08,5,11.83,57.36,6,11.88,57.49
4,11.28,1:08.41,5,11.31,1:08.51,2,11.22,1:08.23,3,11.26,1:08.34,1,10.82,1:08.18,6,11.05,1:08.54
4,10.07,1:18.48,5,10.02,1:18.53,3,10.15,1:18.38,2,9.96,1:18.30,1,10.01,1:18.19,6,10.14,1:18.68
5,10.14,1:28.62,3,10.02,1:28.55,4,10.22,1:28.60,2,10.19,1:28.49,1,10.22,1:28.41,6,10.11,1:28.79
4,10.06,1:38.68,3,10.04,1:38.59,5,10.21,1:38.81,2,10.07,1:38.56,1,10.07,1:38.48,6,10.28,1:39.07
2,9.79,1:48.47,4,10.14,1:48.73,5,9.97,1:48.78,3,9.98,1:48.54,1,9.87,1:48.35,6,10.62,1:49.69
2,9.70,1:58.17,4,9.80,1:58.53,5,10.43,1:59.21,3,9.76,1:58.30,1,9.73,1:58.08,6,11.45,2:01.14
2,9.68,2:07.85,4,9.81,2:08.34,5,10.75,2:09.96,3,9.69,2:07.99,1,9.69,2:07.77,6,12.11,2:13.25
2,9.56,2:17.41,4,10.16,2:18.50,5,11.46,2:21.42,3,9.60,2:17.59,1,9.54,2:17.31,6,12.97,2:26.22
2,9.54,2:26.95,4,10.61,2:29.11,5,12.56,2:33.98,3,9.77,2:27.36,1,9.54,2:26.85,6,13.11,2:39.33
