de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME
1,7.05,7.05,3,7.34,7.34,2,7.19,7.19,4,7.49,7.49,5,7.62,7.62
1,9.29,16.34,3,9.15,16.49,1,9.15,16.34,4,9.16,16.65,5,9.19,16.81
2,8.83,25.17,3,8.73,25.22,1,8.67,25.01,4,8.74,25.39,5,8.72,25.53
3,8.88,34.05,1,8.57,33.79,1,8.78,33.79,4,8.76,34.15,5,8.82,34.35
3,8.97,43.029,1,8.95,42.74,2,9.07,42.86,4,8.99,43.141,5,9.02,43.372
