PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Stribor SUMAN POSITION,Stribor SUMAN LAP TIME,Stribor SUMAN ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,YU Songnan POSITION,YU Songnan LAP TIME,YU Songnan ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME
1,11.07,11.07,4,11.51,11.51,7,11.99,11.99,2,11.24,,3,11.29,11.29,6,11.86,11.86,5,11.76,11.76
2,15.28,26.35,5,15.12,26.63,7,15.24,27.23,1,15.00,,3,15.22,26.51,6,15.24,27.10,4,14.81,26.57
3,13.03,39.38,5,12.99,39.62,7,12.90,40.13,2,13.00,,3,12.87,39.38,6,12.91,40.01,1,12.66,39.23
1,10.67,50.05,5,10.93,50.55,7,10.70,50.83,2,10.90,,4,11.06,50.44,6,10.70,50.71,3,11.05,50.28
1,10.88,1:00.93,5,10.90,1:01.45,7,10.85,1:01.68,2,10.91,,4,10.87,1:01.31,6,10.88,1:01.59,3,10.90,1:01.18
1,10.66,1:11.59,5,10.65,1:12.10,7,10.67,1:12.35,2,10.64,,4,10.65,1:11.96,6,10.67,1:12.26,3,10.63,1:11.81
1,10.24,1:21.83,5,10.14,1:22.24,7,10.08,1:22.43,2,10.15,,3,10.02,1:21.98,6,10.09,1:22.35,4,10.29,1:22.10
1,9.98,1:31.81,5,9.96,1:32.20,7,10.00,1:32.43,2,10.06,,3,10.04,1:32.02,6,10.02,1:32.37,4,9.99,1:32.09
2,10.43,1:42.24,5,10.42,1:42.62,7,10.42,1:42.85,1,10.32,,3,10.36,1:42.38,6,10.39,1:42.76,4,10.39,1:42.48
2,9.71,1:51.95,6,9.77,1:52.39,7,9.61,1:52.46,1,9.63,,3,9.71,1:52.09,5,9.58,1:52.34,4,9.70,1:52.18
1,9.37,2:01.32,7,9.69,2:02.08,6,9.23,2:01.69,2,9.53,,3,9.32,2:01.41,5,9.24,2:01.58,4,9.30,2:01.48
5,9.62,2:10.94,7,9.99,2:12.07,3,8.94,2:10.63,6,9.61,,1,8.96,2:10.37,2,8.87,2:10.45,4,9.22,2:10.70
5,9.73,2:20.67,7,10.47,2:22.54,3,8.99,2:19.62,6,9.85,,2,9.20,2:19.57,1,8.87,2:19.32,4,9.04,2:19.74
6,10.64,2:31.31,7,10.87,2:33.41,2,8.85,2:28.47,5,10.12,,4,9.72,2:29.29,1,8.87,2:28.19,3,9.11,2:28.85
