KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
1,7.02,7.02,3,7.17,7.17,2,7.04,7.04,4,7.29,7.29
2,9.20,16.22,4,9.32,16.49,1,9.11,16.15,3,9.12,16.41
2,8.74,24.96,4,8.82,25.31,1,8.77,24.92,3,8.83,25.24
2,8.97,33.93,3,8.74,34.05,1,8.92,33.84,4,8.85,34.09
2,9.07,42.993,3,9.04,43.090,1,9.03,42.864,4,9.18,43.269
