Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
2,14.44,14.44,3,14.49,14.49,4,14.69,14.69,1,14.38,14.38
1,11.23,25.67,3,11.37,25.86,4,11.24,25.93,2,11.37,25.75
2,12.34,38.01,1,12.07,37.93,4,12.32,38.25,3,12.33,38.08
3,11.19,49.20,2,11.14,49.07,4,11.07,49.32,1,10.96,49.04
3,10.33,59.53,2,10.36,59.43,4,10.34,59.66,1,10.29,59.33
3,10.23,1:09.76,2,10.24,1:09.67,4,10.18,1:09.84,1,10.21,1:09.54
3,10.00,1:19.76,2,10.00,1:19.67,4,10.04,1:19.88,1,10.01,1:19.55
4,9.85,1:29.61,2,9.85,1:29.52,3,9.72,1:29.60,1,9.89,1:29.44
4,10.18,1:39.782,3,10.11,1:39.621,1,9.76,1:39.359,2,10.17,1:39.605
