LEE Yu Bin POSITION,LEE Yu Bin LAP TIME,LEE Yu Bin ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
2,13.25,13.25,3,13.36,13.36,4,13.46,13.46,5,13.55,13.55,1,13.21,13.21
2,10.37,23.62,4,10.40,23.76,5,10.56,24.02,1,9.92,23.47,3,10.51,23.72
2,9.45,33.07,4,9.38,33.14,5,9.28,33.30,1,9.49,32.96,3,9.41,33.13
2,9.32,42.39,3,9.35,42.49,5,9.32,42.62,1,9.35,42.31,3,9.36,42.49
2,9.35,51.74,5,9.60,52.09,4,9.33,51.95,1,9.35,51.66,3,9.34,51.83
3,9.74,1:01.48,5,9.53,1:01.62,3,9.53,1:01.48,1,9.64,1:01.30,2,9.55,1:01.38
3,9.83,1:11.31,5,9.81,1:11.43,2,9.77,1:11.25,4,10.02,1:11.32,1,9.73,1:11.11
2,9.65,1:20.96,3,9.61,1:21.04,1,9.63,1:20.88,5,10.43,1:21.75,4,10.05,1:21.16
1,9.49,1:30.452,3,9.69,1:30.736,2,9.74,1:30.626,5,11.02,1:32.772,4,10.51,1:31.675
