YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,7.00,7.00,1,6.89,6.89,3,7.16,7.16,4,7.31,7.31
2,8.95,15.95,1,8.96,15.85,3,8.98,16.14,4,8.90,16.21
4,8.91,24.86,1,8.43,24.28,2,8.45,24.59,3,8.53,24.74
4,8.67,33.53,1,8.53,32.81,2,8.59,33.18,3,8.68,33.42
4,8.90,42.430,1,8.70,41.505,2,8.69,41.868,3,8.94,42.352
