Shani DAVIS POSITION,Shani DAVIS LAP TIME,Shani DAVIS ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME
3,15.031,15.031,2,14.893,14.893,4,15.180,15.180,1,14.864,14.864
2,10.659,25.690,1,10.778,25.671,4,10.813,25.993,3,11.101,25.965
2,9.926,35.615,1,9.781,35.451,4,9.799,35.792,3,9.748,35.712
2,9.630,45.245,1,9.488,44.939,4,9.568,45.359,3,9.550,45.262
3,9.400,54.644,1,9.435,54.374,4,9.455,54.814,2,9.363,54.624
3,9.078,1:03.722,1,9.212,1:03.585,4,9.053,1:03.866,2,8.996,1:03.620
3,9.080,1:12.802,2,9.088,1:12.672,4,9.001,1:12.866,1,9.041,1:12.661
2,8.973,1:21.774,4,12.946,1:25.618,3,9.044,1:21.910,1,9.012,1:21.673
3,9.62,1:31.389,4,17.83,1:43.445,2,9.09,1:30.995,1,9.27,1:30.942
