Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME
3,13.40,13.40,2,13.38,13.38,1,13.18,13.18,4,13.62,13.62
2,9.74,23.14,3,9.80,23.19,1,9.81,22.99,4,9.67,23.29
2,9.59,32.74,3,9.55,32.74,1,9.61,32.61,4,9.58,32.87
3,9.61,42.35,2,9.56,42.31,1,9.53,42.14,4,9.57,42.45
1,9.39,51.74,3,9.51,51.82,2,9.60,51.75,4,9.58,52.04
3,9.47,1:01.22,2,9.32,1:01.14,1,9.36,1:01.11,4,9.42,1:01.46
2,9.22,1:10.44,1,9.27,1:10.42,3,9.34,1:10.46,4,9.47,1:10.94
1,9.29,1:19.74,3,9.39,1:19.81,2,9.32,1:19.78,4,9.50,1:20.44
2,9.73,1:29.467,1,9.51,1:29.316,3,9.84,1:29.621,4,10.24,1:30.672
