Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME
3,14.515,14.515,1,14.354,14.354,2,14.459,14.459,4,14.672,14.672
3,10.648,25.163,2,10.795,25.149,1,10.627,25.085,4,10.722,25.394
3,10.033,35.195,1,9.932,35.080,2,10.069,35.153,4,10.126,35.519
3,9.874,45.069,2,9.932,45.012,1,9.796,44.949,4,9.817,45.335
2,9.561,54.629,3,9.759,54.770,1,9.229,54.177,4,9.495,54.830
3,9.591,1:04.220,2,9.304,1:04.073,1,9.713,1:03.890,4,9.538,1:04.367
4,9.635,1:13.855,1,9.530,1:13.603,2,9.836,1:13.725,3,9.433,1:13.799
3,9.944,1:23.799,4,10.246,1:23.848,1,9.714,1:23.439,2,9.837,1:23.636
4,9.60,1:33.398,3,9.38,1:33.228,1,9.65,1:33.086,2,9.53,1:33.166
