Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME
1,6.690,6.690,3,7.150,7.150,2,6.730,6.730,4,7.210,7.210
1,8.910,15.600,4,9.150,16.310,2,9.180,15.920,3,8.710,15.930
1,8.880,24.480,3,8.520,24.830,2,8.830,24.760,4,9.100,25.040
2,9.220,33.710,1,8.690,33.520,3,9.090,33.850,4,9.360,34.400
2,9.440,43.150,1,9.190,42.720,3,9.490,43.340,4,9.540,43.950
