Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,MATOC Anamarija POSITION,MATOC Anamarija LAP TIME,MATOC Anamarija ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
0,9.895,9.895,0,9.777,9.777,0,9.695,9.695,0,9.812,9.812,0,9.464,9.464
0,12.766,22.660,0,12.048,21.825,0,12.826,22.521,0,12.735,22.547,0,12.826,22.290
0,12.195,34.855,0,12.577,34.403,0,11.815,34.336,0,12.138,34.685,0,12.257,34.546
0,12.925,47.780,0,13.365,47.768,0,13.713,48.050,0,13.459,48.144,0,13.060,47.606
0,11.735,59.515,0,11.750,59.518,0,11.615,59.665,0,11.616,59.759,0,11.841,59.447
0,12.182,1:11.698,0,12.033,1:11.551,0,12.141,1:11.805,0,12.108,1:11.867,0,11.865,1:11.312
0,12.324,1:24.021,0,12.473,1:24.024,0,12.370,1:24.175,0,12.158,1:24.025,0,12.806,1:24.118
0,10.813,1:34.834,0,10.588,1:34.611,0,11.761,1:35.936,0,11.841,1:35.866,0,10.773,1:34.891
0,10.562,1:45.396,0,10.729,1:45.341,0,11.863,1:47.798,0,27.288,2:03.153,0,10.276,1:45.167
0,10.981,1:56.377,0,10.834,1:56.175,0,12.354,2:00.152,0,13.975,2:17.129,0,10.578,1:55.745
0,10.350,2:06.726,0,11.376,2:07.551,0,12.821,2:12.973,0,12.567,2:29.696,0,10.625,2:06.371
0,10.914,2:17.640,0,11.958,2:19.509,0,12.828,2:25.801,0,12.038,2:41.734,0,10.595,2:16.966
0,11.545,2:29.186,0,12.565,2:32.073,0,14.099,2:39.899,0,11.995,2:53.729,0,10.840,2:27.805
0,,,0,,,0,,,0,,,0,,
