Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Daniela VLAEVA POSITION,Daniela VLAEVA LAP TIME,Daniela VLAEVA ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME
1,10.945,10.945,4,11.208,11.208,5,11.423,11.423,6,11.623,11.623,2,11.152,11.152,3,11.153,11.153
1,17.365,28.309,3,17.517,28.725,4,17.580,29.003,6,17.780,29.402,2,17.473,28.624,5,17.973,29.126
1,16.535,44.844,2,16.358,45.083,4,16.382,45.385,6,16.468,45.870,3,16.495,45.119,5,16.547,45.672
1,15.485,1:00.329,3,15.583,1:00.666,4,15.417,1:00.802,6,15.340,1:01.210,2,15.382,1:00.500,5,15.343,1:01.015
2,14.500,1:14.828,1,14.071,1:14.736,4,14.383,1:15.184,6,14.440,1:15.650,3,14.598,1:15.097,5,14.427,1:15.442
2,12.370,1:27.197,1,12.391,1:27.127,4,12.128,1:27.312,6,12.119,1:27.768,3,12.100,1:27.197,5,12.055,1:27.496
5,10.862,1:38.059,3,10.816,1:37.943,1,10.461,1:37.773,6,10.536,1:38.304,4,10.769,1:37.965,2,10.427,1:37.922
3,10.095,1:48.153,1,9.973,1:47.915,2,10.358,1:48.130,6,10.356,1:48.659,5,10.420,1:48.384,4,10.396,1:48.317
4,9.978,1:58.131,1,9.894,1:57.809,2,9.846,1:57.975,6,9.883,1:58.542,5,10.001,1:58.385,3,9.807,1:58.124
4,10.070,2:08.201,1,10.014,2:07.822,2,10.049,2:08.024,6,10.007,2:08.548,5,9.925,2:08.310,3,10.042,2:08.165
3,10.016,2:18.216,1,10.182,2:18.003,2,10.118,2:18.142,6,10.216,2:18.764,5,10.097,2:18.406,4,10.118,2:18.283
4,10.391,2:28.607,1,10.209,2:28.212,2,10.223,2:28.364,6,10.154,2:28.917,5,10.324,2:28.730,3,10.258,2:28.541
4,10.244,2:38.850,2,10.273,2:38.485,1,9.633,2:37.997,6,10.498,2:39.415,5,10.245,2:38.974,3,10.301,2:38.841
5,11.04,2:49.882,2,10.79,2:49.268,1,10.17,2:48.163,6,11.29,2:50.698,4,10.50,2:49.465,3,10.55,2:49.387
