NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,NIESCIER Karol POSITION,NIESCIER Karol LAP TIME,NIESCIER Karol ELAPSED TIME,MA Xingguang POSITION,MA Xingguang LAP TIME,MA Xingguang ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME
4,11.24,11.24,1,10.84,10.84,5,11.32,11.32,3,11.14,11.14,2,11.05,11.05,6,11.55,11.55
4,16.66,27.90,1,16.78,27.62,2,16.42,27.74,5,16.86,28.00,3,16.76,27.81,6,16.72,28.27
4,12.24,40.14,2,12.28,39.90,1,11.94,39.68,5,12.23,40.23,3,12.22,40.03,6,12.18,40.45
5,11.84,51.98,2,11.78,51.68,1,11.84,51.52,3,11.61,51.84,4,11.82,51.85,6,11.64,52.09
5,10.62,1:02.60,2,10.44,1:02.12,3,10.80,1:02.32,1,10.16,1:02.00,4,10.66,1:02.51,6,10.64,1:02.73
5,10.07,1:12.67,2,10.21,1:12.33,3,10.10,1:12.42,1,10.23,1:12.23,4,10.07,1:12.58,6,10.05,1:12.78
5,10.20,1:22.87,1,10.12,1:22.45,3,10.20,1:22.62,2,10.24,1:22.47,4,10.19,1:22.77,6,10.19,1:22.97
5,9.73,1:32.60,2,9.85,1:32.30,4,9.86,1:32.48,1,9.82,1:32.29,3,9.68,1:32.45,6,9.79,1:32.76
2,9.11,1:41.71,4,9.50,1:41.80,6,9.87,1:42.35,2,9.42,1:41.71,1,9.08,1:41.53,5,9.20,1:41.96
2,8.90,1:50.61,4,9.16,1:50.96,6,10.14,1:52.49,3,9.10,1:50.81,1,8.96,1:50.49,5,9.19,1:51.15
1,9.18,1:59.79,4,9.08,2:00.04,6,10.85,2:03.34,3,9.11,1:59.92,2,9.31,1:59.80,5,9.32,2:00.47
1,9.32,2:09.11,4,9.34,2:09.38,6,11.68,2:15.02,3,9.33,2:09.25,2,9.37,2:09.17,5,9.61,2:10.08
1,9.60,2:18.71,3,9.58,2:18.96,6,11.83,2:26.85,4,9.84,2:19.09,2,9.61,2:18.78,5,9.89,2:19.97
2,9.89,2:28.60,3,9.79,2:28.75,6,12.39,2:39.24,4,9.84,2:28.93,1,9.69,2:28.47,5,10.12,2:30.09
