Petar PETROV POSITION,Petar PETROV LAP TIME,Petar PETROV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
3,7.43,7.43,2,6.92,6.92,4,7.48,7.48,1,6.84,6.84
4,9.51,16.95,2,9.20,16.12,3,9.04,16.53,1,9.04,15.88
4,8.89,25.84,3,9.54,25.67,2,8.67,25.21,1,8.78,24.66
3,9.63,35.48,4,10.16,35.83,2,8.68,33.89,1,8.96,33.63
3,10.10,45.575,4,12.60,48.425,1,8.83,42.711,2,9.55,43.179
