NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME
4,9.74,9.74,1,9.19,9.19,2,9.35,9.35,3,9.48,9.48,5,9.86,9.86
4,13.47,23.21,2,13.63,22.82,3,13.65,23.00,1,13.31,22.79,5,13.45,23.31
4,11.37,34.58,2,11.49,34.31,3,11.47,34.47,1,11.47,34.26,5,11.33,34.64
4,11.46,46.04,2,11.40,45.71,3,11.39,45.86,1,11.40,45.66,5,11.49,46.13
4,11.01,57.05,1,10.93,56.64,3,10.99,56.85,2,11.01,56.67,5,11.02,57.15
4,10.32,1:07.37,1,10.38,1:07.02,2,10.32,1:07.17,3,10.51,1:07.18,5,10.29,1:07.44
4,9.90,1:17.27,1,9.89,1:16.91,3,9.95,1:17.12,2,9.85,1:17.03,5,9.91,1:17.35
4,9.91,1:27.18,1,9.92,1:26.83,3,9.95,1:27.07,2,9.93,1:26.96,5,9.91,1:27.26
4,9.78,1:36.96,1,9.79,1:36.62,2,9.66,1:36.73,3,9.79,1:36.75,5,9.76,1:37.02
3,9.40,1:46.36,1,9.51,1:46.13,2,9.54,1:46.27,4,9.69,1:46.44,5,9.49,1:46.51
2,9.06,1:55.42,1,9.25,1:55.38,3,9.22,1:55.49,5,9.54,1:55.98,4,9.14,1:55.65
1,8.92,2:04.34,2,9.21,2:04.59,3,9.20,2:04.69,5,9.78,2:05.76,4,9.15,2:04.80
1,9.17,2:13.51,2,9.24,2:13.83,3,9.21,2:13.90,5,10.28,2:16.04,4,9.24,2:14.04
1,9.64,2:23.147,2,9.44,2:23.265,3,9.45,2:23.341,5,10.73,2:26.765,4,9.34,2:23.377
