Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
3,13.24,13.24,1,13.07,13.07,4,13.41,13.41,2,13.12,13.12
3,10.35,23.59,2,10.45,23.52,4,10.31,23.72,1,10.32,23.44
3,10.76,34.35,2,10.80,34.32,4,10.71,34.43,1,10.81,34.25
2,9.81,44.16,4,9.97,44.29,3,9.76,44.19,1,9.85,44.10
3,9.82,53.98,4,9.78,54.07,2,9.71,53.90,1,9.72,53.82
3,10.04,1:04.02,4,9.97,1:04.04,2,10.05,1:03.95,1,9.99,1:03.81
4,10.36,1:14.38,3,10.05,1:14.09,2,9.76,1:13.71,1,9.86,1:13.67
4,10.28,1:24.66,3,9.82,1:23.91,2,9.82,1:23.53,1,9.78,1:23.45
4,10.73,1:35.385,3,9.99,1:33.896,2,9.88,1:33.406,1,9.88,1:33.325
