FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
3,13.42,13.42,4,13.51,13.51,2,13.26,13.26,1,13.14,13.14
4,10.68,24.10,2,10.36,23.87,3,10.72,23.98,1,10.64,23.78
4,10.50,34.60,2,10.53,34.40,3,10.49,34.47,1,10.54,34.32
4,10.32,44.92,2,10.26,44.66,3,10.32,44.79,1,10.25,44.57
4,9.85,54.77,2,9.92,54.58,3,9.88,54.67,1,9.92,54.49
3,9.85,1:04.62,2,10.03,1:04.61,4,10.06,1:04.73,1,10.06,1:04.55
1,9.66,1:14.28,4,9.96,1:14.57,3,9.74,1:14.47,2,9.86,1:14.41
2,10.14,1:24.42,3,9.94,1:24.51,1,9.84,1:24.31,4,10.15,1:24.56
2,10.40,1:34.811,4,11.54,1:36.046,1,10.38,1:34.686,3,10.98,1:35.533
