Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,KIM Hae Bin POSITION,KIM Hae Bin LAP TIME,KIM Hae Bin ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME
2,12.65,12.65,1,12.49,12.49,4,13.03,13.03,5,13.39,13.39,3,12.90,12.90,6,13.49,
1,9.48,22.13,2,9.65,22.14,4,9.44,22.47,5,9.33,22.72,3,9.47,22.37,6,9.24,
1,9.46,31.59,2,9.56,31.70,4,9.38,31.85,6,9.37,32.09,3,9.44,31.81,5,9.20,
1,9.51,41.10,3,9.52,41.22,2,9.32,41.17,5,9.38,41.47,6,9.67,41.48,4,9.45,
1,9.45,50.55,3,9.61,50.83,2,9.47,50.64,5,9.54,51.01,6,9.65,51.13,4,9.47,
1,9.83,1:00.38,6,10.44,1:01.27,2,9.84,1:00.48,3,9.95,1:00.96,5,10.03,1:01.16,4,10.22,
1,10.03,1:10.41,6,11.30,1:12.57,2,10.03,1:10.51,3,10.05,1:11.01,5,10.06,1:11.22,4,10.05,
1,10.20,1:20.61,6,12.25,1:24.82,2,10.16,1:20.67,3,10.15,1:21.16,5,10.17,1:21.39,4,10.16,
2,10.50,1:31.11,5,13.63,1:38.420,1,10.17,1:30.84,3,10.49,1:31.637,4,10.50,1:31.873,4,10.49,
