Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
5,12.69,12.69,2,12.42,12.42,3,12.55,12.55,1,12.41,12.41,4,12.63,12.63
4,17.83,30.52,3,17.96,30.38,1,17.48,30.03,2,17.82,30.23,5,18.15,30.78
4,14.88,45.40,3,14.93,45.31,1,14.96,44.99,2,14.92,45.15,5,14.77,45.55
4,14.69,1:00.09,3,14.63,59.94,1,14.61,59.60,2,14.63,59.78,5,14.66,1:00.21
4,13.28,1:13.37,2,13.18,1:13.12,3,13.53,1:13.13,1,13.25,1:13.03,5,13.29,1:13.50
5,12.17,1:25.54,4,12.14,1:25.26,3,12.04,1:25.17,2,12.04,1:25.07,1,11.44,1:24.94
5,10.71,1:36.25,4,10.85,1:36.11,3,10.78,1:35.95,2,10.77,1:35.84,1,10.77,1:35.71
5,10.46,1:46.71,4,10.45,1:46.56,3,10.53,1:46.48,2,10.54,1:46.38,1,10.57,1:46.28
5,10.18,1:56.89,3,10.03,1:56.59,4,10.12,1:56.60,1,10.02,1:56.40,2,10.15,1:56.43
5,9.55,2:06.44,3,9.51,2:06.10,4,9.59,2:06.19,1,9.53,2:05.93,2,9.59,2:06.02
5,9.43,2:15.87,3,9.57,2:15.67,3,9.48,2:15.67,1,9.58,2:15.51,2,9.57,2:15.59
5,9.70,2:25.57,4,9.77,2:25.44,3,9.64,2:25.31,1,9.60,2:25.11,2,9.60,2:25.19
5,9.63,2:35.20,4,9.43,2:34.87,3,9.55,2:34.86,1,9.24,2:34.35,2,9.31,2:34.50
4,9.51,2:44.716,3,9.50,2:44.37,5,26.19,3:01.059,1,9.03,2:43.38,2,8.94,2:43.44
