CHU Ying-Hao POSITION,CHU Ying-Hao LAP TIME,CHU Ying-Hao ELAPSED TIME,Ersel ARGUN POSITION,Ersel ARGUN LAP TIME,Ersel ARGUN ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,Rafal GRYCNER POSITION,Rafal GRYCNER LAP TIME,Rafal GRYCNER ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
2,15.99,15.99,4,16.23,16.23,1,15.98,15.98,3,16.08,16.08,5,16.37,16.37
5,11.97,27.96,3,11.50,27.73,1,11.51,27.49,2,11.54,27.62,4,11.46,27.83
5,11.30,39.26,4,11.31,39.04,1,11.27,38.76,2,11.25,38.87,3,11.16,38.99
5,11.05,50.31,4,11.13,50.17,1,10.94,49.70,2,10.95,49.82,3,10.99,49.98
5,10.31,1:00.62,4,10.30,1:00.47,1,10.11,59.81,2,10.16,59.98,3,10.15,1:00.13
5,10.27,1:10.89,4,10.07,1:10.54,1,9.39,1:09.20,2,9.29,1:09.27,3,9.28,1:09.41
5,10.36,1:21.25,4,10.70,1:21.24,3,9.65,1:18.85,1,9.53,1:18.80,2,9.44,1:18.85
4,10.33,1:31.58,5,10.92,1:32.16,1,9.47,1:28.32,3,9.66,1:28.46,2,9.53,1:28.38
4,10.83,1:42.406,5,11.41,1:43.569,1,9.57,1:37.888,3,9.78,1:38.235,2,9.62,1:37.995
