Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME
3,12.77,12.77,2,12.70,12.70,4,12.81,12.81,5,12.97,12.97,1,12.61,12.61
4,9.60,22.37,3,9.59,22.29,2,9.37,22.18,5,9.48,22.45,1,9.47,22.08
4,9.31,31.68,1,9.06,31.35,3,9.42,31.60,5,9.35,31.80,2,9.43,31.51
4,9.00,40.68,2,9.17,40.52,2,8.92,40.52,5,8.99,40.79,1,8.93,40.44
4,9.15,49.83,5,9.79,50.31,2,9.20,49.72,3,8.99,49.78,1,9.14,49.58
4,9.30,59.13,5,9.00,59.31,2,9.13,58.85,3,9.19,58.97,1,9.17,58.75
5,9.09,1:08.22,4,8.89,1:08.20,2,9.06,1:07.91,3,9.05,1:08.02,1,9.06,1:07.81
5,9.28,1:17.50,4,9.05,1:17.25,2,9.05,1:16.96,3,9.15,1:17.17,1,9.03,1:16.84
5,9.59,1:27.09,4,9.56,1:26.81,2,9.20,1:26.16,3,9.40,1:26.57,1,9.16,1:26.00
