Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
3,14.02,14.02,1,13.87,13.87,4,14.10,14.10,2,13.99,13.99,5,14.24,14.24
3,10.36,24.38,1,10.28,24.15,4,10.44,24.54,2,10.28,24.27,5,10.44,24.68
2,9.87,34.25,1,9.98,34.13,4,9.92,34.46,3,10.12,34.39,5,9.89,34.57
1,9.63,43.88,2,9.77,43.90,4,9.74,44.20,3,9.72,44.11,5,9.74,44.31
1,9.48,53.36,2,9.56,53.46,4,9.42,53.62,3,9.46,53.57,5,9.42,53.73
1,9.60,1:02.96,2,9.59,1:03.05,4,9.58,1:03.20,3,9.57,1:03.14,5,9.59,1:03.32
1,9.44,1:12.40,2,9.43,1:12.48,4,9.49,1:12.69,3,9.50,1:12.64,5,9.51,1:12.83
1,9.38,1:21.78,2,9.37,1:21.85,3,9.20,1:21.89,4,9.49,1:22.13,5,9.33,1:22.16
1,9.40,1:31.180,2,9.42,1:31.252,3,9.47,1:31.354,5,10.24,1:32.356,4,9.30,1:31.454
