Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME
1,13.06,13.06,5,13.43,13.43,3,13.23,13.23,6,13.55,13.55,2,13.15,13.15,4,13.34,13.34
2,10.18,23.24,5,10.10,23.53,1,9.93,23.16,6,10.11,23.66,3,10.19,23.34,4,10.10,23.44
2,9.69,32.93,3,9.47,33.00,1,9.67,32.83,6,9.58,33.24,5,9.77,33.11,4,9.60,33.04
3,9.48,42.41,1,9.22,42.22,2,9.48,42.31,5,9.35,42.59,6,9.63,42.74,4,9.44,42.48
3,9.04,51.45,1,9.12,51.34,2,9.13,51.44,5,9.07,51.66,6,9.02,51.76,4,9.08,51.56
3,9.04,1:00.49,1,8.95,1:00.29,2,8.94,1:00.38,5,9.00,1:00.66,6,9.01,1:00.77,4,9.00,1:00.56
3,8.95,1:09.44,1,9.00,1:09.29,2,8.97,1:09.35,5,8.93,1:09.59,6,8.92,1:09.69,4,8.94,1:09.50
4,9.05,1:18.49,2,9.06,1:18.35,1,8.91,1:18.26,5,8.98,1:18.57,6,9.00,1:18.69,3,8.90,1:18.40
3,9.15,1:27.642,2,9.15,1:27.50,1,9.19,1:27.45,4,9.10,1:27.671,5,9.05,1:27.741,6,9.47,1:27.870
