Miyuki OZAWA POSITION,Miyuki OZAWA LAP TIME,Miyuki OZAWA ELAPSED TIME,KANG Yun-Mi POSITION,KANG Yun-Mi LAP TIME,KANG Yun-Mi ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME,Joanna WILLIAMS POSITION,Joanna WILLIAMS LAP TIME,Joanna WILLIAMS ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
2,8.611,8.611,1,8.549,8.549,3,8.792,8.792,6,9.005,9.005,4,8.856,8.856,5,8.989,8.989
3,12.512,21.123,1,12.245,20.794,4,12.385,21.176,5,12.317,21.321,2,12.158,21.014,6,12.690,21.679
5,11.368,32.490,1,11.182,31.975,3,11.193,32.369,4,11.164,32.485,2,11.200,32.213,6,11.171,32.849
1,11.079,43.569,2,11.608,43.582,4,11.660,44.029,5,11.584,44.069,3,11.484,43.697,6,11.637,44.486
4,11.569,55.138,1,10.997,54.578,2,10.945,54.974,5,11.459,55.527,3,11.388,55.084,6,11.065,55.550
3,11.305,1:06.443,1,11.563,1:06.141,2,11.455,1:06.428,5,11.137,1:06.663,4,11.476,1:06.560,6,11.420,1:06.970
3,11.117,1:17.560,1,11.114,1:17.254,2,11.054,1:17.481,5,11.080,1:17.742,4,11.026,1:17.585,6,10.847,1:17.817
2,11.180,1:28.739,1,11.152,1:28.406,5,11.448,1:28.929,3,11.098,1:28.839,4,11.335,1:28.920,6,11.266,1:29.082
5,10.695,1:39.434,1,10.198,1:38.603,2,10.304,1:39.233,3,10.458,1:39.297,6,10.600,1:39.520,4,10.286,1:39.368
4,10.176,1:49.609,1,9.925,1:48.528,3,10.370,1:49.603,2,10.293,1:49.589,5,10.167,1:49.686,6,10.521,1:49.889
4,10.635,2:00.244,1,10.598,1:59.126,6,13.774,2:03.376,3,10.640,2:00.229,5,10.672,2:00.358,2,10.167,2:00.055
4,10.427,2:10.671,1,10.727,2:09.852,6,11.981,2:15.357,3,10.080,2:10.308,5,10.598,2:10.955,2,9.975,2:10.030
4,10.595,2:21.265,1,9.189,2:19.041,6,12.694,2:28.051,3,10.022,2:20.329,5,10.850,2:21.805,2,9.774,2:19.803
4,11.25,2:32.514,1,10.67,2:29.711,6,12.93,2:40.980,3,10.78,2:31.101,5,11.86,2:33.658,2,10.12,2:29.917
