LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME,SELLIER Diane POSITION,SELLIER Diane LAP TIME,SELLIER Diane ELAPSED TIME,IVLIEV Konstantin POSITION,IVLIEV Konstantin LAP TIME,IVLIEV Konstantin ELAPSED TIME,SIGHEL Pietro POSITION,SIGHEL Pietro LAP TIME,SIGHEL Pietro ELAPSED TIME
1,12.49,12.49,3,12.73,12.73,5,12.97,12.97,2,12.59,12.59,4,12.84,12.84
1,9.98,22.47,3,9.94,22.67,5,9.91,22.88,2,9.95,22.54,4,9.93,22.77
1,10.13,32.60,3,10.11,32.78,5,10.11,32.99,2,10.09,32.63,4,10.11,32.88
2,9.32,41.92,3,9.22,42.00,5,9.20,42.19,1,9.15,41.78,4,9.21,42.09
1,8.92,50.84,2,8.93,50.93,5,9.03,51.22,3,9.22,51.00,4,8.98,51.07
2,9.04,59.88,1,8.93,59.86,4,9.12,1:00.34,3,9.26,1:00.26,5,9.56,1:00.63
2,9.04,1:08.92,1,8.95,1:08.81,4,9.06,1:09.40,3,9.05,1:09.31,5,8.98,1:09.61
2,9.02,1:17.94,1,9.04,1:17.85,4,9.13,1:18.53,3,9.13,1:18.44,5,9.01,1:18.62
2,9.25,1:27.19,1,9.21,1:27.06,4,9.41,1:27.943,3,9.41,1:27.85,5,9.44,1:28.066
