Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME
3,15.80,15.80,1,15.50,15.50,2,15.67,15.67,4,15.90,15.90
4,11.50,27.30,1,11.56,27.06,2,11.51,27.18,3,11.31,27.21
4,11.15,38.45,1,10.97,38.03,2,10.99,38.17,3,11.06,38.27
4,10.07,48.52,1,10.22,48.25,2,10.17,48.34,3,10.15,48.42
4,9.76,58.28,1,9.69,57.94,2,9.71,58.05,3,9.73,58.15
4,9.02,1:07.30,2,9.22,1:07.16,1,9.02,1:07.07,3,9.03,1:07.18
3,8.88,1:16.18,4,9.12,1:16.28,1,8.94,1:16.01,2,8.89,1:16.07
3,8.90,1:25.08,4,8.85,1:25.13,1,8.87,1:24.88,2,8.91,1:24.98
3,8.72,1:33.794,4,8.88,1:34.002,1,8.79,1:33.669,2,8.79,1:33.764
