LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Thomas BAUER POSITION,Thomas BAUER LAP TIME,Thomas BAUER ELAPSED TIME,Takehiro KODERA POSITION,Takehiro KODERA LAP TIME,Takehiro KODERA ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME
3,6.944,6.944,2,6.941,6.941,1,6.883,6.883,5,7.215,7.215,4,7.071,7.071
1,9.290,16.234,3,9.591,16.531,2,9.411,16.293,4,9.400,16.615,5,9.577,16.647
1,8.946,25.179,5,8.867,25.397,2,8.941,25.234,3,8.722,25.336,4,8.729,25.376
1,9.045,34.224,3,9.016,34.413,2,9.035,34.268,5,9.374,34.710,4,9.265,34.641
1,9.34,43.560,3,9.28,43.687,2,9.39,43.649,4,9.16,43.862,5,9.30,43.938
