KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME
1,9.63,9.63,2,9.82,9.82,3,9.98,9.98,5,10.19,10.19,7,10.52,10.52,6,10.38,10.38,4,10.11,10.11
1,13.63,23.26,2,13.55,23.37,3,13.52,23.50,5,13.60,23.79,6,13.41,23.93,7,13.74,24.12,4,13.51,23.62
1,12.72,35.98,2,12.76,36.13,3,12.77,36.27,5,12.76,36.55,6,12.75,36.68,7,12.72,36.84,4,12.75,36.37
1,12.30,48.28,2,12.29,48.42,4,12.29,48.56,5,12.26,48.81,6,12.27,48.95,7,12.26,49.10,3,12.18,48.55
2,11.14,59.42,3,11.11,59.53,4,11.07,59.63,5,10.95,59.76,6,10.94,59.89,7,10.93,1:00.03,1,10.77,59.32
2,10.90,1:10.32,3,10.88,1:10.41,4,10.89,1:10.52,5,10.85,1:10.61,6,10.83,1:10.72,7,10.82,1:10.85,1,10.86,1:10.18
2,10.43,1:20.75,3,10.46,1:20.87,4,10.45,1:20.97,6,10.44,1:21.05,7,10.50,1:21.22,5,10.18,1:21.03,1,10.50,1:20.68
2,9.38,1:30.13,3,9.35,1:30.22,6,9.45,1:30.42,5,9.26,1:30.31,7,9.33,1:30.55,4,9.27,1:30.30,1,9.43,1:30.11
1,9.24,1:39.37,2,9.34,1:39.56,5,9.56,1:39.98,3,9.48,1:39.79,6,9.58,1:40.13,7,9.87,1:40.17,4,9.71,1:39.82
1,9.14,1:48.51,2,9.09,1:48.65,5,9.20,1:49.18,3,9.09,1:48.88,4,8.93,1:49.06,6,9.30,1:49.47,7,9.67,1:49.49
1,9.15,1:57.66,2,9.09,1:57.74,4,8.99,1:58.17,7,25.85,2:14.73,3,8.93,1:57.99,5,9.39,1:58.86,6,9.62,1:59.11
1,9.15,2:06.81,2,9.14,2:06.88,4,8.93,2:07.10,7,21.27,2:36.00,3,8.97,2:06.96,5,9.52,2:08.38,6,9.87,2:08.98
1,9.36,2:16.17,2,9.39,2:16.27,4,9.35,2:16.45,7,15.69,2:51.69,3,9.40,2:16.36,5,9.99,2:18.37,6,10.31,2:19.29
1,9.25,2:25.412,2,9.20,2:25.463,3,9.11,2:25.556,7,13.64,3:05.323,4,9.35,2:25.709,5,10.06,2:28.421,6,11.00,2:30.289
