Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Anna DAVYDENKO POSITION,Anna DAVYDENKO LAP TIME,Anna DAVYDENKO ELAPSED TIME
1,16.87,16.87,2,17.02,17.02,3,17.19,17.19,4,17.33,17.33
1,14.02,30.89,2,13.99,31.01,3,13.97,31.16,4,14.00,31.33
1,13.60,44.49,2,13.61,44.62,3,13.61,44.77,4,13.57,44.90
1,12.29,56.78,2,12.19,56.81,3,12.19,56.96,4,12.20,57.10
1,10.51,1:07.29,2,10.52,1:07.33,3,10.52,1:07.48,4,10.51,1:07.61
1,10.06,1:17.35,2,10.11,1:17.44,3,10.00,1:17.48,4,10.34,1:17.95
2,9.71,1:27.06,3,9.74,1:27.18,1,9.43,1:26.91,4,10.41,1:28.36
2,9.37,1:36.43,3,9.35,1:36.53,1,9.42,1:36.33,4,10.98,1:39.34
2,9.58,1:46.01,3,9.58,1:46.110,1,9.54,1:45.87,4,12.01,1:51.357
