KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Nita AVRITH POSITION,Nita AVRITH LAP TIME,Nita AVRITH ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
0,9.544,9.544,0,9.170,9.170,0,9.708,9.708,0,9.653,9.653,0,9.390,9.390,0,9.288,9.288
0,13.321,22.865,0,13.222,22.392,0,12.576,22.285,0,13.234,22.887,0,13.142,22.532,0,13.308,22.595
0,11.889,34.754,0,12.255,34.646,0,12.187,34.472,0,11.966,34.853,0,11.972,34.503,0,12.106,34.701
0,11.318,46.072,0,11.076,45.723,0,11.292,45.764,0,11.187,46.040,0,12.702,47.205,0,11.196,45.897
0,11.493,57.565,0,11.603,57.326,0,11.657,57.421,0,11.503,57.543,0,9.855,57.060,0,11.452,57.348
0,9.845,1:07.410,0,10.378,1:07.704,0,10.302,1:07.723,0,10.067,1:07.610,0,10.761,1:07.821,0,10.436,1:07.784
0,10.057,1:17.467,0,9.985,1:17.689,0,9.949,1:17.672,0,9.546,1:17.156,0,9.750,1:17.571,0,9.927,1:17.711
0,9.963,1:27.429,0,9.913,1:27.602,0,10.066,1:27.738,0,10.131,1:27.287,0,10.133,1:27.704,0,10.036,1:27.747
0,10.091,1:37.520,0,10.095,1:37.696,0,10.122,1:37.860,0,10.045,1:37.332,0,9.914,1:37.618,0,10.211,1:37.958
0,10.300,1:47.820,0,10.396,1:48.092,0,10.338,1:48.198,0,10.401,1:47.733,0,11.038,1:48.656,0,10.341,1:48.299
0,9.816,1:57.635,0,9.808,1:57.900,0,10.145,1:58.343,0,10.079,1:57.813,0,9.306,1:57.962,0,10.127,1:58.426
0,9.948,2:07.583,0,9.849,2:07.749,0,10.522,2:08.864,0,9.992,2:07.804,0,10.077,2:08.039,0,9.711,2:08.138
0,9.956,2:17.539,0,9.827,2:17.576,0,10.732,2:19.597,0,9.982,2:17.786,0,9.840,2:17.879,0,9.992,2:18.130
0,10.058,2:27.596,0,10.088,2:27.664,0,11.350,2:30.946,0,9.807,2:27.593,0,10.349,2:28.228,0,10.119,2:28.248
