Kaloyan ANGELOV POSITION,Kaloyan ANGELOV LAP TIME,Kaloyan ANGELOV ELAPSED TIME,Stribor SUMAN POSITION,Stribor SUMAN LAP TIME,Stribor SUMAN ELAPSED TIME,Georgi ORLOV POSITION,Georgi ORLOV LAP TIME,Georgi ORLOV ELAPSED TIME,Georgi TSVETKOV POSITION,Georgi TSVETKOV LAP TIME,Georgi TSVETKOV ELAPSED TIME,Kaviraj Prithvi COIMBATORE ASHOK POSITION,Kaviraj Prithvi COIMBATORE ASHOK LAP TIME,Kaviraj Prithvi COIMBATORE ASHOK ELAPSED TIME,Guillian van WAASDIJK POSITION,Guillian van WAASDIJK LAP TIME,Guillian van WAASDIJK ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME
3,8.12,8.12,5,8.59,8.59,4,8.14,8.14,7,9.05,9.05,6,8.81,8.81,1,7.81,7.81,2,8.08,8.08
4,10.27,18.39,5,10.37,18.96,3,9.93,18.07,7,11.07,20.12,6,10.62,19.43,1,9.91,17.72,2,9.75,17.83
4,9.59,27.98,5,10.09,29.05,3,9.37,27.44,7,10.62,30.74,6,10.45,29.88,1,9.48,27.20,2,9.50,27.33
4,9.77,37.75,5,10.53,39.58,3,9.44,36.88,7,10.81,41.55,6,11.03,40.91,1,9.55,36.75,2,9.45,36.78
4,10.33,48.08,5,11.13,50.71,3,9.71,46.59,7,11.12,52.67,6,11.41,52.32,2,9.74,46.49,1,9.60,46.38
4,10.59,58.67,5,11.41,1:02.12,3,9.97,56.56,7,11.62,1:04.29,6,11.80,1:04.12,2,9.98,56.47,1,9.95,56.33
4,10.99,1:09.66,5,11.46,1:13.58,3,9.96,1:06.52,7,12.49,1:16.78,6,12.55,1:16.67,2,9.97,1:06.44,1,10.00,1:06.33
4,11.08,1:20.74,5,11.72,1:25.30,2,9.99,1:16.51,7,12.16,1:28.94,6,12.17,1:28.84,1,10.00,1:16.44,3,10.27,1:16.60
4,11.53,1:32.27,5,12.65,1:37.95,2,10.20,1:26.71,6,11.32,1:40.26,7,11.88,1:40.72,3,10.40,1:26.84,1,9.89,1:26.49
4,11.76,1:44.03,5,11.70,1:49.65,2,10.05,1:36.76,6,11.64,1:51.90,7,11.79,1:52.51,3,10.73,1:37.57,1,10.17,1:36.66
4,11.69,1:55.72,5,11.76,2:01.41,2,10.26,1:47.02,6,11.83,2:03.73,7,12.35,2:04.86,3,11.22,1:48.79,1,10.28,1:46.94
4,12.96,2:08.68,5,12.19,2:13.60,2,10.28,1:57.30,6,12.27,2:16.00,7,13.18,2:18.04,3,11.62,2:00.41,1,10.28,1:57.22
4,11.75,2:20.43,5,12.47,2:26.07,2,10.54,2:07.84,6,12.60,2:28.60,7,13.13,2:31.17,3,11.81,2:12.22,1,10.59,2:07.81
4,11.43,2:31.838,5,12.49,2:38.528,1,10.59,2:18.410,6,12.53,2:41.096,7,12.71,2:43.849,3,11.81,2:24.004,2,10.82,2:18.613
