Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
1,12.92,12.92,2,13.01,13.01,3,13.13,13.13,4,13.27,13.27
1,9.99,22.91,2,9.91,22.92,3,9.99,23.12,4,9.96,23.23
2,9.63,32.54,1,9.59,32.51,3,9.63,32.75,4,9.62,32.85
1,9.35,41.89,2,9.46,41.97,3,9.34,42.09,4,9.32,42.17
1,9.49,51.38,2,9.49,51.46,3,9.54,51.63,4,9.60,51.77
1,9.32,1:00.70,3,9.34,1:00.80,2,9.14,1:00.77,4,9.20,1:00.97
2,9.29,1:09.99,3,9.30,1:10.10,1,8.86,1:09.63,4,9.21,1:10.18
2,9.29,1:19.28,3,9.29,1:19.39,1,9.03,1:18.66,4,9.25,1:19.43
2,9.41,1:28.689,3,9.66,1:29.048,1,9.62,1:28.273,4,11.17,1:30.591
