Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,OM Chol POSITION,OM Chol LAP TIME,OM Chol ELAPSED TIME
2,9.43,9.43,5,9.68,9.68,4,9.57,9.57,6,9.82,9.82,1,9.38,9.38,3,9.49,9.49
3,13.42,22.85,5,13.35,23.03,4,13.40,22.97,6,13.38,23.20,2,13.35,22.73,1,13.24,22.73
6,13.09,35.94,1,12.10,35.13,3,12.37,35.34,2,12.03,35.23,4,12.79,35.52,5,12.90,35.63
6,11.16,47.10,1,11.49,46.62,3,11.47,46.81,2,11.45,46.68,5,11.49,47.01,4,11.21,46.84
6,11.07,58.17,3,11.22,57.84,1,10.94,57.75,4,11.24,57.92,2,10.77,57.78,5,11.23,58.07
5,10.87,1:09.04,3,11.10,1:08.94,1,11.03,1:08.78,4,11.12,1:09.04,2,11.04,1:08.82,6,11.10,1:09.17
1,10.13,1:19.17,4,10.57,1:19.51,2,10.51,1:19.29,5,10.57,1:19.61,3,10.57,1:19.39,6,10.58,1:19.75
1,10.86,1:30.03,5,10.79,1:30.30,2,10.76,1:30.05,6,10.73,1:30.34,3,10.80,1:30.19,4,10.45,1:30.20
2,9.99,1:40.02,4,9.88,1:40.18,1,9.85,1:39.90,6,9.99,1:40.33,3,9.94,1:40.13,5,10.08,1:40.28
3,9.65,1:49.67,1,9.29,1:49.47,2,9.67,1:49.57,5,9.47,1:49.80,4,9.63,1:49.76,6,9.87,1:50.15
3,9.10,1:58.77,1,9.02,1:58.49,2,9.07,1:58.64,4,9.27,1:59.07,5,9.34,1:59.10,6,9.68,1:59.83
3,9.02,2:07.79,1,9.05,2:07.54,2,9.01,2:07.65,4,9.32,2:08.39,5,9.75,2:08.85,6,10.23,2:10.06
3,9.20,2:16.99,1,9.13,2:16.67,2,9.21,2:16.86,4,9.49,2:17.88,5,10.03,2:18.88,6,10.88,2:20.94
3,9.52,2:26.504,1,9.44,2:26.103,2,9.54,2:26.399,4,9.88,2:27.754,5,10.82,2:29.697,6,11.31,2:32.244
