LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
2,12.28,12.28,4,12.52,12.52,1,12.25,12.25,3,12.43,12.43,5,12.64,12.64
2,9.55,21.83,3,9.56,22.08,1,9.48,21.73,3,9.65,22.08,5,9.50,22.14
1,8.98,30.81,3,8.98,31.06,2,9.18,30.91,5,9.26,31.34,3,8.92,31.06
1,8.92,39.73,3,8.79,39.85,2,8.92,39.83,5,8.84,40.18,4,8.98,40.04
2,8.97,48.70,1,8.75,48.60,3,8.97,48.80,5,8.86,49.04,4,8.87,48.91
2,8.84,57.54,1,8.87,57.47,3,8.85,57.65,5,8.84,57.88,4,8.85,57.76
2,8.82,1:06.36,1,8.81,1:06.28,3,8.86,1:06.51,5,8.83,1:06.71,4,8.86,1:06.62
1,8.76,1:15.12,2,8.88,1:15.16,3,8.89,1:15.40,5,9.00,1:15.71,4,8.92,1:15.54
1,8.77,1:23.89,2,8.94,1:24.10,3,8.83,1:24.23,5,8.72,1:24.438,4,8.86,1:24.407
