Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME
2,7.416,7.416,3,7.479,7.479,1,7.411,7.411
2,9.716,17.131,1,9.500,16.978,3,9.844,17.254
1,9.375,26.506,2,9.564,26.542,3,9.389,26.643
1,9.392,35.897,2,9.432,35.973,3,9.441,36.084
2,9.51,45.398,1,9.43,45.396,3,9.42,45.500
