Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Gianluigi NOVER POSITION,Gianluigi NOVER LAP TIME,Gianluigi NOVER ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
2,8.36,8.36,3,8.44,8.44,4,8.61,8.61,6,8.89,8.89,5,8.78,8.78,1,8.24,8.24
3,11.66,20.02,1,11.47,19.92,5,11.75,20.37,2,11.08,19.98,6,11.71,20.49,4,11.87,20.11
3,10.56,30.58,1,10.53,30.45,2,10.16,30.53,4,10.77,30.75,6,10.49,30.99,5,10.63,30.75
1,10.03,40.62,3,10.27,40.73,2,10.16,40.70,5,10.10,40.85,6,10.05,41.05,4,9.97,40.73
3,10.32,50.95,1,9.76,50.49,4,10.25,50.95,5,10.17,51.03,6,10.11,51.16,2,10.19,50.92
4,9.99,1:00.94,1,9.94,1:00.44,2,9.90,1:00.85,5,10.01,1:01.04,6,9.95,1:01.11,3,9.99,1:00.92
3,10.25,1:11.20,1,10.72,1:11.16,4,10.51,1:11.36,5,10.38,1:11.42,6,10.48,1:11.60,2,10.24,1:11.17
3,9.62,1:20.82,1,9.44,1:20.60,4,9.62,1:20.99,6,9.70,1:21.13,5,9.52,1:21.12,2,9.58,1:20.75
3,9.64,1:30.47,2,9.79,1:30.39,6,10.72,1:31.71,5,9.70,1:30.83,4,9.49,1:30.61,1,9.40,1:30.16
3,10.13,1:40.61,1,10.09,1:40.49,6,9.50,1:41.22,5,9.98,1:40.82,4,10.17,1:40.79,2,10.36,1:40.52
2,9.78,1:50.39,3,10.03,1:50.53,6,9.70,1:50.93,4,9.74,1:50.56,5,9.99,1:50.78,1,9.60,1:50.13
2,9.55,1:59.95,5,9.73,2:00.27,6,9.98,2:00.92,3,9.53,2:00.09,4,9.38,2:00.16,1,9.65,1:59.78
3,9.48,2:09.43,5,9.58,2:09.85,6,10.50,2:11.42,4,9.57,2:09.66,1,9.20,2:09.37,2,9.59,2:09.37
2,10.33,2:19.751,3,10.37,2:20.214,4,11.35,2:22.767,0,,DQ,0,,DQ,1,9.79,2:19.156
