WEI Jiguang POSITION,WEI Jiguang LAP TIME,WEI Jiguang ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
0,,,3,14.210,14.210,2,14.010,14.010,1,13.730,13.730
2,0.000,24.050,3,9.920,24.130,4,10.320,24.340,1,10.210,23.940
1,9.650,33.710,3,9.870,34.000,4,9.930,34.270,2,9.820,33.760
1,10.220,43.930,3,10.170,44.180,4,11.300,45.570,2,10.380,44.150
2,9.900,53.830,3,9.960,54.140,4,8.580,54.150,1,9.630,53.780
1,9.590,1:03.430,2,9.440,1:03.580,4,9.670,1:03.820,2,9.800,1:03.580
1,9.590,1:13.020,4,9.700,1:13.290,3,9.430,1:13.260,2,9.460,1:13.050
1,9.110,1:22.130,4,9.540,1:22.840,3,9.350,1:22.610,2,9.270,1:22.320
1,9.480,1:31.620,3,9.510,1:32.350,4,10.030,1:32.640,2,9.820,1:32.140
