Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,WANG Wei POSITION,WANG Wei LAP TIME,WANG Wei ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Szandra LAJTOS POSITION,Szandra LAJTOS LAP TIME,Szandra LAJTOS ELAPSED TIME
4,9.036,9.036,2,8.651,8.651,5,9.153,9.153,3,8.913,8.913,1,8.544,8.544
4,14.068,23.104,1,14.054,22.704,5,14.417,23.570,3,13.935,22.848,2,14.198,22.742
4,13.683,36.786,1,13.636,36.339,5,13.348,36.917,3,13.855,36.702,2,13.741,36.483
4,11.426,48.212,1,11.456,47.795,5,11.487,48.404,3,11.400,48.102,2,11.345,47.827
2,10.932,59.143,3,11.374,59.169,5,11.357,59.760,4,11.199,59.301,1,11.266,59.092
3,11.646,1:10.789,1,11.396,1:10.564,5,11.393,1:11.153,4,11.584,1:10.885,2,11.674,1:10.766
4,11.761,1:22.549,1,11.475,1:22.039,5,11.518,1:22.670,3,11.491,1:22.375,2,11.470,1:22.236
4,10.547,1:33.096,1,10.661,1:32.700,5,10.427,1:33.097,2,10.509,1:32.883,3,10.759,1:32.995
5,10.442,1:43.537,1,10.206,1:42.906,2,10.240,1:43.336,3,10.481,1:43.364,4,10.423,1:43.417
5,10.404,1:53.941,1,10.232,1:53.138,2,10.103,1:53.439,3,10.491,1:53.854,4,10.505,1:53.922
5,10.959,2:04.899,1,10.382,2:03.520,2,10.476,2:03.914,4,10.810,2:04.664,3,10.728,2:04.649
5,11.564,2:16.463,1,10.727,2:14.246,2,10.646,2:14.560,3,10.801,2:15.464,4,10.888,2:15.536
5,12.251,2:28.713,1,10.933,2:25.179,2,10.777,2:25.337,3,11.061,2:26.525,4,11.002,2:26.538
5,13.13,2:41.834,2,11.45,2:36.626,1,11.19,2:36.525,3,11.20,2:37.722,4,11.27,2:37.801
