Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Marina TRETIAKOVA POSITION,Marina TRETIAKOVA LAP TIME,Marina TRETIAKOVA ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME
3,16.323,16.323,1,15.967,15.967,2,16.100,16.100,4,16.377,16.377
3,12.465,28.787,2,12.608,28.574,1,12.327,28.427,4,12.454,28.830
4,11.117,39.904,3,11.254,39.828,1,11.267,39.694,2,10.948,39.778
1,9.559,49.463,3,9.706,49.534,2,9.793,49.486,4,9.902,49.679
3,9.583,59.045,4,10.010,59.543,1,9.507,58.993,2,9.362,59.041
1,9.498,1:08.542,4,9.275,1:08.818,3,9.620,1:08.613,2,9.565,1:08.606
2,9.948,1:18.490,4,10.540,1:19.357,3,9.939,1:18.551,1,9.865,1:18.470
1,9.971,1:28.460,4,10.798,1:30.155,3,10.117,1:28.667,2,10.133,1:28.602
2,10.71,1:39.163,4,11.89,1:42.039,3,10.93,1:39.597,1,10.24,1:38.837
